project_name,developer,city,county,state,nearest_zip,latitude,longitude,status,capacity,investment,notes,source_url,date_compiled
Stargate,OpenAI/Oracle/SoftBank,Abilene,Taylor,TX,79601,32.4487,-99.7331,Proposed/Expanding,Multi-GW (toward 5GW+),~$100B,Flagship AI campus with planned multi-state expansion,https://www.blackridgeresearch.com/blog/upcoming-largest-data-center-projects-in-united-states-usa,2026-06-11
Project Tango (Central Park Commerce Center),PBA Holdings,Loxahatchee,Palm Beach,FL,33470,26.7398,-80.3003,Proposed,~3.7M sq ft (9 buildings),Undisclosed,202 acres in zoning review near Arden; adjacent to FPL West County Energy Center,https://floridadatacenters.org/,2026-06-11
Fort Meade Data Center Campus,Bohler Places LLC,Fort Meade,Polk,FL,33841,27.7553,-81.8017,Approved,4.4M sq ft,$2.6B,Approved Apr 15 2026 on former phosphate land,https://floridadatacenters.org/,2026-06-11
xAI Colossus / Digital Delta,xAI,Memphis,Shelby,TN,38109,35.0257,-90.1300,Contested,~2GW,Undisclosed,Air-quality opposition; MACROHARD cluster,https://www.blackridgeresearch.com/blog/upcoming-largest-data-center-projects-in-united-states-usa,2026-06-11
Lighthouse Campus,Vantage Data Centers,Port Washington,Ozaukee,WI,53074,43.3875,-87.8756,Proposed,Undisclosed,Undisclosed,April 2026 referendum (66%) requires voter approval of incentives,https://www.multistate.us/insider/2026/5/7/voters-target-data-centers-with-local-and-statewide-ballot-measures,2026-06-11
PW Digital Gateway,QTS Realty / Compass Datacenters,Gainesville,Prince William,VA,20155,38.7956,-77.6147,Contested,22M sq ft / 2100 acres,$24.7B,Near Manassas Battlefield; rezoning voided Jan 2026; multiple lawsuits,https://introl.com/blog/data-center-community-opposition-64-billion-backlash,2026-06-11
Province Group Campus,Province Group,Midlothian/Powhatan,Powhatan,VA,23139,37.5424,-77.9269,Delayed,300MW / 1.525M sq ft,$3B,Deferred by Powhatan County Planning Commission,https://www.datacenterwatch.org/report,2026-06-11
Amazon King George,Amazon,King George,King George,VA,22485,38.2682,-77.1841,Contested,Undisclosed,Undisclosed,~500 acres; board moved to reconsider rezoning to agricultural,https://www.datacenterwatch.org/report,2026-06-11
Highlander SM One,Highlander SM One LLC,San Marcos,Hays,TX,78666,29.8833,-97.9414,Blocked,~380MW (5 buildings),$1.5B,Denied 5-2 by city council Feb 17 2026; ~200 acres,https://datacenterwatch.substack.com/p/briefing-02202026,2026-06-11
CoreSite Expansion,CoreSite,Denver,Denver,CO,80216,39.7900,-104.9600,Contested,Undisclosed,Undisclosed,Globeville-Elyria-Swansea; city moratorium proposed Feb 2026,https://datacenterwatch.substack.com/p/briefing-02272026,2026-06-11
CyrusOne Campus,CyrusOne,Springfield,Sangamon,IL,62707,39.8000,-89.6400,Advancing/Contested,Undisclosed,$500M,Six-month moratorium rejected; advanced to County Board,https://datacenterwatch.substack.com/p/briefing-02272026,2026-06-11
Beltline Energy Project,Beltline Energy,Pacific,Franklin,MO,63069,38.4822,-90.7426,Withdrawn,Undisclosed,$16B,Rezoning request withdrawn minutes before hearing Feb 2026,https://datacenterwatch.substack.com/p/briefing-02272026,2026-06-11
Huron County Data Center,Undisclosed,Bad Axe,Huron,MI,48413,43.8019,-82.9955,Proposed (early),Undisclosed,Undisclosed,Rural residents mobilizing ahead of zoning amendments,https://datacenterwatch.substack.com/p/briefing-02272026,2026-06-11
NM Tech Data Center,New Mexico Tech,Socorro,Socorro,NM,87801,34.0584,-106.8914,Proposed,Undisclosed,Undisclosed,County weighed June 9 moratorium vote,https://writing.strisker.com/data-centers-daily-notes-may-26-2026/,2026-06-11
Inyokern Data Center,Undisclosed,Inyokern,Kern,CA,93527,35.6486,-117.8112,Contested,Undisclosed,Undisclosed,Up to 16M gallons water/year; union-backed,https://writing.strisker.com/data-centers-daily-notes-may-26-2026/,2026-06-11
